time,h1,h2,h3,C.O.P,Tevwi,Tcdwi,operation_num,running_time
1547081255.0,407.0543893783876,424.166335454318,246.5255340189969,9.381098715895856,15.5,29.8,1.0,10.0
1547082104.0,404.66616568169746,425.2536268805475,242.30538154132492,7.886391749432509,15.7,26.7,1.0,20.0
1547082225.0,405.49480137194524,424.8082928637383,243.90132791110386,8.366870046749867,15.8,28.1,1.0,22.0
1547082345.0,405.1796558069647,424.8311898289306,244.91958677553816,8.155092058070014,15.8,28.8,1.0,24.0
1547083194.0,405.3055505222578,424.90887840931487,243.90132791110386,8.233511347719691,16.0,28.1,1.0,34.0
1547083315.0,405.53305171852685,424.71280423655264,244.91984826248347,8.37410197577335,16.0,28.7,1.0,36.0
1547083435.0,405.49480137194524,424.92520335265704,246.23341237161938,8.196505103621751,16.0,29.4,1.0,38.0
1547084285.0,405.05397960712037,424.89416426976953,245.21155699618598,8.056498733696376,16.1,28.7,1.0,48.0
1547084405.0,405.2175478635024,425.02675248706566,245.94093320001969,8.04053558384779,16.2,29.4,1.0,50.0
1547084525.0,405.7094263601378,424.9705425231447,247.40349065917005,8.218938838290825,16.2,30.1,1.0,52.0
1547085375.0,405.3055505222578,424.9847198289728,246.086991461182,8.090715445328629,16.2,29.5,1.0,62.0
1547085495.0,405.68454145614714,424.9493822421845,247.40339994834687,8.21606278846166,16.2,30.2,1.0,64.0
1547085615.0,405.761537542689,425.0023534774117,248.28334479349613,8.184590158934018,16.2,30.9,1.0,66.0
1547086465.0,405.88578980595383,424.9529612269069,247.69736470349204,8.296376091139942,16.3,29.9,1.0,76.0
1547086585.0,405.9134485445226,425.52870993195694,247.55132347377946,8.073413957776319,16.3,30.6,1.0,78.0
1547086705.0,404.89124524709166,425.5846835420074,242.44984894446213,7.849898793403543,16.3,27.5,1.0,80.0
1547087555.0,405.05397960712037,425.63566037551766,243.46536951239116,7.851089126931021,16.3,28.6,1.0,90.0
1547087675.0,405.02874426935927,425.4320488255306,241.72578441474133,8.003750539773424,16.3,26.9,1.0,92.0
1547087795.0,405.58104573116975,424.64026491922345,243.75672618161042,8.49060593473789,16.3,26.8,1.0,94.0
1547088645.0,405.1040688915722,424.66515296782575,243.03029629711716,8.285520984555554,16.3,26.6,1.0,104.0
1547088765.0,405.53305171852685,424.7703819877453,243.75601697050172,8.409536691631446,16.3,27.9,1.0,106.0
1547088886.0,405.3555035573126,424.7088469059116,245.50325684029144,8.259670891881978,16.3,28.8,1.0,108.0
1547089735.0,405.2296770623262,424.7416679234442,244.9205706925969,8.21592770880087,16.2,28.2,1.0,118.0
1547089855.0,405.3055505222578,424.84844760724013,245.7952196299739,8.162061653328754,16.2,29.0,1.0,120.0
1547089976.0,405.53305171852685,424.8931640035144,246.96417244920195,8.190493780983077,16.2,29.8,1.0,122.0
1547090096.0,405.698093539957,424.94221695954116,247.98963976504768,8.195148738986676,16.3,30.6,1.0,124.0
1547090945.0,405.4580884599597,424.9669924176014,247.5497506287948,8.094167574663382,16.3,30.4,1.0,134.0
1547091066.0,405.41985486125253,425.6589191993688,244.6277834281263,7.944639571618223,16.3,30.1,1.0,136.0
1547091186.0,404.8785867787088,425.44671359741926,242.30497330557785,7.904152619539473,16.3,27.2,1.0,138.0
1547092036.0,404.75366967247584,425.44671359741926,242.30497330557785,7.850401176169235,16.3,27.3,1.0,148.0
1547092156.0,405.01629675015175,424.87629883441514,241.43637075542333,8.236652005406668,16.3,26.2,1.0,150.0
1547092276.0,405.7366193998412,424.53163573266073,243.7561800495413,8.618265421108093,16.3,27.8,1.0,152.0
1547093136.0,405.7366193998412,424.44776445090974,243.75596268877612,8.656907755723648,16.3,27.7,1.0,162.0
1547093257.0,404.95361248750834,424.85967939744245,244.92030742346125,8.039423648484878,16.3,28.3,1.0,164.0
1547093377.0,405.1295424322029,425.00925062116,245.94123633416547,8.007577605513571,16.3,29.2,1.0,166.0
1547094247.0,405.2805396528738,424.9672532298285,245.94108468326786,8.09375594086609,16.3,29.2,1.0,176.0
1547094367.0,405.91057308261065,424.9565377983789,247.4043090384081,8.322301674379062,16.4,29.7,1.0,178.0
1547094488.0,405.6867148310906,425.27708829167284,247.40349065917005,8.079643019077869,16.4,30.6,1.0,180.0
1547095337.0,405.6347037221278,425.05162449009504,247.55011955891152,8.141588774674014,16.4,30.3,1.0,190.0
1547095457.0,405.3816874019781,425.7235883269024,244.91984826248347,7.888242093583631,16.4,29.7,1.0,192.0
1547095577.0,404.85350921232316,425.5436650244336,242.4497651078072,7.849324363688765,16.4,27.4,1.0,194.0
1547096427.0,405.1040688915722,425.75889301478406,243.46567900767852,7.825696743757013,16.4,28.4,1.0,204.0
1547096548.0,404.9285223495684,425.2915302971296,241.72571388328728,8.014670960526129,16.4,26.9,1.0,206.0
1547096668.0,405.33053846497774,424.74826501386633,242.74012975836726,8.373297888259529,16.4,26.5,1.0,208.0
1547097517.0,405.003797791011,424.7561086879308,241.4363382006119,8.280927757972156,16.5,26.1,1.0,218.0
1547097637.0,405.8609842347625,424.63209693158996,243.7561800495413,8.635865481358406,16.5,27.7,1.0,220.0
1547097758.0,405.33053846497774,424.8349645666877,244.91991373541126,8.224319131107544,16.5,28.5,1.0,222.0
1547098773.0,405.46984207443074,424.9672532298285,246.08730054179523,8.17454893176988,16.5,29.2,1.0,232.0
1547098893.0,405.68454145614714,425.012822925998,247.1103881387939,8.204255177300887,16.5,30.1,1.0,234.0
1547099013.0,405.50808686187776,425.72112632505235,245.6493232420113,7.9086949744054,16.6,29.9,1.0,236.0
1547099863.0,405.786433023716,425.6746292969982,245.94070628937655,8.037215871057972,16.6,30.3,1.0,246.0
1547099983.0,404.5534684610095,425.6435040663128,242.739905505479,7.672512554452058,16.6,27.5,1.0,248.0
1547100104.0,404.90340897578966,425.2536268805475,241.29167180338604,8.039802715535084,16.6,26.6,1.0,250.0
1547100958.0,405.1796558069647,425.39106586402914,241.87052506229423,8.080046383878592,16.7,26.9,1.0,260.0
1547101199.0,405.761537542689,424.81211396074536,243.75612565087863,8.503963782337843,16.7,27.8,1.0,264.0
1547102053.0,405.9382867237169,424.47308039577314,243.7562889638441,8.750137747925653,16.8,26.9,1.0,274.0
1547102174.0,405.2304488274878,424.8215798758685,244.19190419824886,8.219971793948572,16.7,28.1,1.0,276.0
1547102294.0,405.3816874019781,424.9882584736111,245.794996659716,8.139449277449394,16.7,29.1,1.0,278.0
1547103143.0,405.2805396528738,425.0127563882737,245.50325684029144,8.097279943511868,16.6,28.8,1.0,288.0
1547103264.0,405.50808686187776,425.0232732244523,246.67211817148583,8.139095663211371,16.6,29.5,1.0,290.0
1547103384.0,405.68454145614714,425.0904950626812,247.54984279497313,8.148772375088512,16.6,30.3,1.0,292.0
1547104246.0,405.46984207443074,425.1182908780456,246.96425860754772,8.067078732328321,16.5,29.9,1.0,302.0
1547104367.0,405.7366193998412,425.25291375030287,247.69642510203414,8.09785871537997,16.5,30.7,1.0,304.0
1547104487.0,404.71558361431084,425.75889301478406,243.02982127292918,7.683475981099456,16.5,28.1,1.0,306.0
1547105502.0,405.0413468100737,425.48489220061066,242.30485155974156,7.9602873249989585,16.5,27.2,1.0,316.0
1547105622.0,405.15406626496286,425.2600089701639,241.72617494614445,8.128337661906425,16.5,26.3,1.0,318.0
1547105743.0,405.406686812537,424.57349335773216,243.7562889638441,8.433872250315828,16.5,27.6,1.0,320.0
1547106592.0,405.6097507429185,424.4521240863516,243.7562344871945,8.589868871913287,16.5,27.3,1.0,330.0
1547106712.0,404.95361248750834,425.0302540587837,244.04691044990997,8.014622439034571,16.5,27.9,1.0,332.0
1547106833.0,405.3055505222578,424.9953290916806,245.50354276577698,8.115988059136669,16.5,28.8,1.0,334.0
1547107687.0,405.07903577690087,425.01626004642935,245.35759339199527,8.011217621151992,16.5,28.7,1.0,344.0
1547107807.0,405.2304488274878,425.0653148607837,246.23317602078362,8.016049744919039,16.5,29.4,1.0,346.0
1547107928.0,405.6347037221278,424.99168940909567,247.40358141401538,8.174367893170581,16.5,29.9,1.0,348.0
1547108777.0,405.46984207443074,424.92157211249224,246.37933109779613,8.178733236855527,16.5,29.5,1.0,358.0
1547108898.0,405.6347037221278,425.0727490644815,247.2568244373916,8.147829501130241,16.5,30.2,1.0,360.0
1547109018.0,405.41985486125253,425.6589191993688,245.3570342459462,7.908607727179325,16.6,29.9,1.0,362.0
1547109867.0,405.698093539957,425.0093352607501,247.4032186587383,8.197032442029696,16.6,30.2,1.0,372.0
1547109988.0,405.3055505222578,425.81093481289207,244.04656797816588,7.864226305563378,16.6,29.2,1.0,374.0
1547110108.0,404.90340897578966,425.3880752037938,242.1601004253257,7.944640480789528,16.6,27.0,1.0,376.0
1547110967.0,405.1796558069647,425.8748840914598,243.75601697050172,7.8000414693372635,16.6,29.0,1.0,386.0
1547111088.0,405.0413468100737,425.3880752037938,241.87034233014447,8.019520451764196,16.6,27.1,1.0,388.0
1547111208.0,404.9786719882973,425.2600089701639,241.5813952978271,8.05653378949146,16.6,26.2,1.0,390.0
1547112077.0,404.9912235839773,425.2977982188189,241.2918906924394,8.061395672841178,16.6,26.4,1.0,400.0
1547112197.0,405.93533413733354,424.6819325259812,243.46598989354013,8.666603981988517,16.6,26.6,1.0,402.0
1547112317.0,405.2805396528738,424.7703819877453,243.9014950907517,8.280161624159538,16.6,27.7,1.0,404.0
1547112437.0,405.14232518285104,425.01626004642935,245.21162549209305,8.047258924243152,16.5,28.7,1.0,406.0
1547112557.0,405.7094263601378,424.92520335265704,246.08714591724868,8.306834561258274,16.5,29.3,1.0,408.0
1547112677.0,405.41985486125253,425.09722381965446,246.81766068627357,8.060132150302419,16.5,29.9,1.0,410.0
1547112797.0,405.761537542689,425.1505679818174,247.69642510203414,8.152295852899844,16.5,30.7,1.0,412.0
1547112918.0,404.67826635608856,425.7637778453465,242.44980700747058,7.693835619366705,16.5,27.8,1.0,414.0
1547113038.0,405.07903577690087,425.2018112466205,241.14741446600476,8.146571110808152,16.5,26.1,1.0,416.0
1547113158.0,405.90244007272855,424.4311547506449,243.61074906062842,8.758928713254434,16.5,27.4,1.0,418.0
1547113279.0,405.1040688915722,424.86715314282134,244.19231324610837,8.142036617351044,16.5,27.9,1.0,420.0
1547167736.0,407.3551062950618,424.1449824044105,246.37909063542583,9.587683352231725,15.6,29.8,2.0,442.0
1547167858.0,406.9833245377835,424.27117877329385,247.54984279497313,9.222282856557436,15.6,30.6,2.0,444.0
1547167977.0,406.31020237242484,424.7505972964582,248.57674441739,8.553691968356969,15.7,31.3,2.0,446.0
1547168101.0,406.14333633394494,424.87110130058574,249.16517884686792,8.382108477263461,15.7,31.6,2.0,448.0
1547168887.0,405.557993779664,425.1669231299353,246.37949161869528,8.11765391764063,16.2,29.6,2.0,458.0
1547169007.0,405.786433023716,425.1960066725649,247.40358141401538,8.160037643026385,16.2,30.4,2.0,460.0
1547169128.0,405.90244007272855,425.2075215476139,248.28334479349613,8.164642842056098,16.3,31.0,2.0,462.0
1547170844.0,405.33053846497774,425.2538559961883,245.7952196299739,8.007467560815934,16.5,29.2,2.0,472.0
1547170973.0,405.68454145614714,425.18141286552736,246.96451734285444,8.1407945295741,16.6,29.9,2.0,474.0
1547171088.0,405.761537542689,425.1716879058616,247.5497506287948,8.150982035361965,16.6,30.6,2.0,476.0
1547171209.0,405.7366193998412,425.62784872395696,246.52488161468034,8.004117553063214,16.6,30.7,2.0,478.0
1547171329.0,404.90364124299555,425.6819002611506,243.17534938681416,7.783534304528112,16.6,27.6,2.0,480.0
1547171450.0,405.1295424322029,425.05466824946177,241.7258197351638,8.200887873716747,16.6,26.5,2.0,482.0
1547171572.0,405.9382867237169,424.8082928637383,244.1924304727863,8.571584717605576,16.6,28.0,2.0,484.0
1547171686.0,405.45661701136436,424.9570213084484,245.21176260663174,8.217514466030593,16.6,28.5,2.0,486.0
1547171807.0,405.7230063977639,425.0232732244523,246.08676009286808,8.271193747650713,16.6,29.4,2.0,488.0
1547171927.0,405.6097507429185,425.0727490644815,247.1102130746044,8.14363414360024,16.7,30.1,2.0,490.0
1547172047.0,405.648199607377,425.2075215476139,247.5490148907712,8.083060609139448,16.7,30.8,2.0,492.0
1547172167.0,405.2805396528738,425.8726198065866,244.4836177263857,7.8086779347300075,16.7,29.1,2.0,494.0
1547172288.0,405.07903577690087,425.449617864059,242.3051769585995,7.990633656016965,16.7,27.1,2.0,496.0
1547172408.0,405.53305171852685,424.6779114718278,243.02986860407856,8.488084279981676,16.7,26.9,2.0,498.0
1547173269.0,405.3555035573126,425.4729833328952,241.72585509205703,8.133705130592892,16.8,26.8,2.0,508.0
1547173390.0,405.90244007272855,424.46875183799455,243.75601697050172,8.73336746426784,16.8,27.3,2.0,510.0
1547173511.0,405.406686812537,424.90520377894256,244.48343315884503,8.253102219566227,16.7,28.1,2.0,512.0
1547173634.0,405.4580884599597,425.05119572802107,245.64910457359392,8.156387942961436,16.7,29.0,2.0,514.0
1547173753.0,405.50808686187776,425.18465183560636,246.81842320490009,8.064906850807239,16.8,29.7,2.0,516.0
1547174631.0,405.50808686187776,425.1039456670974,246.2329400508497,8.128000328753275,16.8,29.5,2.0,526.0
1547174752.0,405.6731579680537,425.0904950626812,247.403128079939,8.150964734083303,16.8,30.2,2.0,528.0
1547174872.0,405.7366193998412,425.4995446777232,247.25646835854386,8.019063413586009,16.9,30.8,2.0,530.0
1547174992.0,404.7658888106185,425.7793890973596,243.1751048758352,7.689855651356791,16.9,27.8,2.0,532.0
1547177269.0,405.6347037221278,425.1140157925336,245.50325684029144,8.22059045530248,17.1,28.9,2.0,546.0
1547177389.0,405.786433023716,425.2088428297377,245.79469994980263,8.237481068096402,17.1,29.4,2.0,548.0
1547177510.0,405.58477492229895,425.3161269633416,247.4032186587383,8.01676215266605,17.1,30.1,2.0,550.0
1547179462.0,405.6867148310906,425.5807807557712,247.69651886203044,7.941573963171487,17.1,30.8,2.0,560.0
1547179579.0,405.0413468100737,425.87715019211686,243.32014133842202,7.761697617622313,17.1,28.1,2.0,562.0
1547179703.0,405.406686812537,425.55194636572435,241.7258197351638,8.125031432095687,17.2,26.7,2.0,564.0
1547180565.0,405.45661701136436,425.62565346568283,242.74008483234917,8.067640343035627,17.1,27.2,2.0,574.0
1547180681.0,405.56954293336713,425.35308234793035,241.5810541331989,8.289138023474745,17.2,26.5,2.0,576.0
1547180801.0,405.77765728326614,424.6111826277567,243.6106961405593,8.610547317958487,17.1,27.5,2.0,578.0
1547181654.0,405.698093539957,424.7612151841762,242.7397267818677,8.548356864076643,17.1,26.6,2.0,588.0
1547181775.0,405.96310249200053,424.9505524332935,243.75596268877612,8.542860695077552,17.1,27.8,2.0,590.0
1547181896.0,405.6347037221278,425.0337048770914,245.50332825969159,8.254619615890059,17.1,28.7,2.0,592.0
1547182778.0,405.46984207443074,425.03717804733054,244.91991373541126,8.204996764065198,17.0,28.4,2.0,602.0
1547182898.0,405.68454145614714,425.1701899042752,246.08730054179523,8.190501914227227,17.0,29.1,2.0,604.0
1547183018.0,405.66172825565764,425.07614352087137,246.81757617776074,8.18176339117,17.0,29.8,2.0,606.0
1547183820.0,405.6097507429185,425.10730404300665,245.94085752124784,8.189175880901338,17.0,29.2,2.0,616.0
1547183940.0,405.761537542689,425.25915465573576,247.25718121685276,8.129421939451959,17.0,30.0,2.0,618.0
1547184060.0,405.6867148310906,425.5598024191959,247.84324700356328,7.942573952222826,17.1,30.7,2.0,620.0
