time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1557849739,20.2,17.3,23.5,25.4,0,4.79,28.1,0,4.79,0,20,19.8,0,0,4.86,27.9,0,4.86,0,20.5,20.2,15
1557849919,20.2,17.1,23.5,25.4,0,4.8,28.1,0,4.79,0,20.1,19.9,0,0,4.83,27.9,0,4.89,0,20.5,20.2,15
1557850099,20.2,17.2,23.5,25.4,0,4.79,28.1,0,4.79,0,20,20,0,0,4.84,27.9,0,4.89,0,20.5,20.2,15
1557850280,20.3,17.2,23.5,25.3,0,4.79,28,0,4.79,0,20,19.9,0,0,4.81,27.9,0,4.89,0,20.5,20.2,15
1557850460,20.3,17.3,23.5,25.3,0,4.8,28,0,4.8,0,20,20.1,0,0,4.88,27.9,0,4.9,0,20.6,20.3,15
1557850640,20.3,17.3,23.5,25.3,0,4.8,28,0,4.81,0,20.1,20,0,0,4.85,27.9,0,4.91,0,20.6,20.2,15
1557850820,20.3,17.4,23.5,25.3,0,4.79,28,0,4.83,0,20,19.8,0,0,4.85,27.9,0,4.91,0,20.5,20.2,15
1557851000,20.3,17.4,23.5,25.3,0,4.8,28,0,4.8,0,20.2,20,0,0,4.83,27.9,0,4.89,0,20.5,20.2,15
1557851230,20.3,17.4,23.5,25.3,0,4.8,28,0,4.8,0,20,20,0,0,4.85,27.9,0,4.89,0,20.5,20.3,15
1557851410,20.3,17.4,23.5,25.3,0,4.79,28,0,4.8,0,20,20.1,0,0,4.84,27.8,0,4.89,0,20.5,20.3,15
1557851590,20.3,17.4,23.5,25.3,0,4.81,28,0,4.83,0,20.1,20,0,0,4.86,27.8,0,4.9,0,20.6,20.3,15
1557851772,20.4,17.4,23.5,25.3,0,4.81,28,0,4.8,0,20,20.1,0,0,4.86,27.8,0,4.89,0,20.5,20.4,15
1557851953,20.4,17.4,23.6,25.3,0,4.81,28,0,4.81,0,20.1,20,0,0,4.88,27.8,0,4.89,0,20.5,20.4,15
1557852133,20.4,17.5,23.6,25.3,0,4.79,28,0,4.81,0,20.1,20.2,0,0,4.88,27.8,0,4.9,0,20.6,20.4,15
1557852305,20.4,17.5,23.6,25.3,0,4.79,28,0,4.81,0,20.1,20,0,0,4.86,27.8,0,4.89,0,20.5,20.4,15
1557852485,20.4,17.5,23.6,25.3,0,4.83,27.9,0,4.83,0,20.2,20.2,0,0,4.89,27.8,0,4.9,0,20.5,20.4,15
1557852666,20.4,17.5,23.6,25.3,0,4.8,27.9,0,4.83,0,20.1,20.1,0,0,4.86,27.8,0,4.9,0,20.5,20.4,15
1557852846,20.4,17.5,23.6,25.3,0,4.81,27.9,0,4.83,0,20.2,20.1,0,0,4.89,27.8,0,4.91,0,20.7,20.7,15
1557853027,20.4,17.5,23.6,25.3,0,4.83,27.9,0,4.84,0,20.2,20.2,0,0,4.89,27.8,0,4.9,0,20.5,20.6,15
1557853207,20.4,17.6,23.6,25.3,0,4.81,27.9,0,4.83,0,20.2,20.1,0,0,4.89,27.8,0,4.9,0,20.5,20.6,15
1557853387,20.4,17.6,23.6,25.3,0,4.81,27.9,0,4.84,0,20.2,20.2,0,0,4.9,27.8,0,4.9,0,20.6,20.5,15
1557853567,20.5,17.6,23.6,25.3,0,4.84,27.9,0,4.84,0,20.2,20.1,0,0,4.9,27.8,0,4.9,0,20.7,20.5,15
