time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1558485974.0,21.7,18.9,27.7,29.0,0.0,5.09,27.6,0.0,5.09,0.0,21.4,21.4,63.0,1783.0,2.61,48.2,124.8,7.83,68.5,34.6,5.6,15.0,86.0,28842.0
1558486154.0,20.6,18.4,30.6,32.2,0.0,4.91,27.6,0.0,4.94,0.0,20.8,20.7,72.0,1988.0,3.15,53.0,139.6,9.04,85.6,39.0,10.1,15.0,86.0,28844.0
1558486336.0,19.6,17.9,29.4,31.7,0.0,4.73,27.7,0.0,4.74,0.0,19.8,19.5,72.0,2194.0,3.25,50.5,135.4,8.43,82.8,36.7,10.4,15.0,86.0,28846.0
1558486515.0,18.6,16.9,27.7,29.7,0.0,4.57,27.7,0.0,4.55,0.0,18.8,18.8,78.0,2259.0,3.01,48.6,140.5,8.12,84.1,35.3,9.1,15.0,86.0,28848.0
1558486648.0,18.1,16.1,27.2,29.2,0.0,4.44,27.7,0.0,4.43,0.0,17.8,17.9,78.0,2289.0,3.07,48.4,139.5,8.02,88.4,34.9,9.3,15.0,86.0,28850.0
1558486829.0,17.1,14.9,28.5,30.3,0.0,4.18,27.8,0.0,4.22,0.0,16.6,16.5,78.0,2289.0,3.1,47.9,143.6,8.49,91.2,36.6,9.2,15.0,86.0,28852.0
1558487009.0,16.3,14.4,30.7,32.5,0.0,4.01,27.8,0.0,4.04,0.0,15.2,15.2,66.0,2240.0,3.25,46.3,131.8,8.44,67.1,36.5,10.2,15.0,86.0,28854.0
1558487197.0,15.9,14.5,27.6,29.1,0.0,3.94,27.9,0.0,3.94,0.0,15.2,15.1,42.0,2080.0,3.23,41.2,115.1,7.24,39.8,31.1,10.7,15.0,86.0,28856.0
1558487372.0,15.7,14.9,26.6,27.3,0.0,4.02,28.1,0.0,4.02,0.0,15.5,15.5,30.0,1637.0,3.38,36.4,104.5,6.84,27.2,30.2,11.3,15.0,86.0,28858.0
1558487553.0,16.0,15.1,27.8,28.4,0.0,4.07,28.2,0.0,4.09,0.0,15.8,15.8,30.0,1333.0,3.32,36.7,107.6,7.12,28.0,31.4,10.5,15.0,86.0,28860.0
1558487734.0,16.3,14.6,29.0,29.6,0.0,4.12,28.2,0.0,4.1,0.0,15.9,15.8,30.0,1333.0,2.76,38.8,112.1,7.34,29.1,32.3,6.9,15.0,86.0,28862.0
1558487914.0,16.6,14.9,29.6,30.2,0.0,4.14,28.3,0.0,4.15,0.0,16.1,16.3,30.0,1333.0,2.8,39.3,114.3,7.49,29.8,32.8,6.9,15.0,86.0,28864.0
1558488095.0,16.9,15.3,30.4,31.0,0.0,4.22,28.4,0.0,4.23,0.0,16.7,16.5,30.0,1333.0,2.86,39.8,115.4,7.65,30.1,33.6,7.6,15.0,86.0,28866.0
1558488276.0,17.3,15.3,26.2,27.0,0.0,4.27,28.5,0.0,4.25,0.0,16.9,16.7,30.0,1436.0,2.78,38.3,103.1,6.61,26.6,29.4,5.0,15.0,86.0,28868.0
1558488456.0,17.5,15.9,26.9,27.6,0.0,4.3,28.6,0.0,4.32,0.0,17.0,17.0,30.0,1371.0,2.87,37.6,106.0,6.83,27.5,30.2,8.6,15.0,86.0,28870.0
1558488605.0,17.7,15.9,27.7,28.3,0.0,4.33,28.6,0.0,4.37,0.0,17.5,17.3,30.0,1371.0,2.86,38.3,108.9,7.11,28.4,31.4,7.9,15.0,86.0,28872.0
1558488779.0,17.9,15.9,28.9,29.4,0.0,4.38,28.6,0.0,4.4,0.0,17.4,17.3,33.0,1371.0,2.77,39.9,112.8,7.42,32.0,32.1,7.1,15.0,86.0,28874.0
1558488959.0,18.0,15.9,29.4,30.1,0.0,4.37,28.7,0.0,4.39,0.0,17.7,17.5,36.0,1466.0,2.73,40.9,115.5,7.58,39.1,33.9,6.9,15.0,86.0,28876.0
1558489139.0,18.0,15.6,28.3,29.6,0.0,4.4,28.8,0.0,4.42,0.0,17.7,17.7,45.0,1558.0,2.51,42.1,111.2,7.21,43.1,32.3,5.0,15.0,86.0,28878.0
